index,mid,display_name,threshold
0,/m/09x0r,Discussion,0.663131595
1,/m/0ytgt,"Parole d'enfant,enfant qui parle",0.233555675
2,/m/01h8n0,Conversation,0.079049014
3,/m/02qldy,"Narration,monologue",0.148160264
4,/m/0261r1,Babillage,0.29551515
5,/m/0brhx,Synthétiseur vocal,0.114881948
6,/m/07p6fty,Crier,0.123608574
7,/m/07q4ntr,Soufflet,0.115662575
8,/m/07rwj3x,Cri,0.185566455
9,/m/07sr1lc,Crier,0.203322187
10,/t/dd00135,Enfants qui crient,0.14569521
11,/m/03qc9zr,Hurlement,0.218166262
12,/m/02rtxlg,Chuchotement,0.439987093
13,/m/01j3sz,Rire,0.373072088
14,/t/dd00001,Rires de bébé,0.498326451
15,/m/07r660_,Pouffer de rire,0.231795475
16,/m/07s04w4,Ricanement,0.203020319
17,/m/07sq110,Rire du ventre,0.263697952
18,/m/07rgt08,"Rire,rire",0.212297976
19,/m/0463cq4,"Pleurer,sangloter",0.250249505
20,/t/dd00002,"Les pleurs du bébé,les pleurs du nourrisson",0.366189182
21,/m/07qz6j3,Gémissement,0.165533066
22,/m/07qw_06,"Gémir,gémir",0.117786862
23,/m/07plz5l,Soupir,0.121035784
24,/m/015lz1,Chant,0.334172606
25,/m/0l14jd,Chœur,0.310240626
26,/m/01swy6,Yodel,0.104060158
27,/m/02bk07,Chant,0.23072274
28,/m/01c194,Mantra,0.296109617
29,/t/dd00005,Enfant chantant,0.292762011
30,/t/dd00006,Chant synthétique,0.189190939
31,/m/06bxc,Rap,0.213257313
32,/m/02fxyj,Bourdonnement,0.147413835
33,/m/07s2xch,Gémissement,0.267993331
34,/m/07r4k75,Grognement,0.183808699
35,/m/01w250,Sifflement,0.331246257
36,/m/0lyf6,Respiration,0.078809544
37,/m/07mzm6,Respiration sifflante,0.068359815
38,/m/01d3sd,Ronflement,0.115220405
39,/m/07s0dtb,Haleter,0.144594833
40,/m/07pyy8b,Haleter,0.068428777
41,/m/07q0yl5,Renifler,0.077853985
42,/m/01b_21,Toux,0.324417293
43,/m/0dl9sf8,Éclaircissement de la gorge,0.255496502
44,/m/01hsr_,Éternuer,0.230125844
45,/m/07ppn3j,Renifler,0.079365209
46,/m/06h7j,Courir,0.078879051
47,/m/07qv_x_,Mélanger,0.035825808
48,/m/07pbtc8,"Marche,pas",0.097542576
49,/m/03cczk,"Mâcher,mastiquer",0.24013032
50,/m/07pdhp0,Mordant,0.164163366
51,/m/0939n_,Gargarisme,0.043829158
52,/m/01g90h,Gargouillements d'estomac,0.029107671
53,/m/03q5_w,"Rots,éructations",0.266600043
54,/m/02p3nc,Hoquet,0.144014791
55,/m/02_nn,Péter,0.123087049
56,/m/0k65p,Mains,0.138297305
57,/m/025_jnm,Claquer des doigts,0.070497356
58,/m/0l15bq,Applaudissements,0.128759995
59,/m/01jg02,"Bruits du cœur,battements du cœur",0.586156607
60,/m/01jg1z,Souffle au cœur,0.377441734
61,/m/053hz1,Applaudissement,0.211448893
62,/m/028ght,Applaudissements,0.139219627
63,/m/07rkbfh,Bavarder,0.247834355
64,/m/03qtwd,Foule,0.304168642
65,/m/07qfr4h,"Brouhaha,bruit de parole,babillage",0.116272435
66,/t/dd00013,Enfants jouant,0.214131489
67,/m/0jbk,Animal,0.44654569
68,/m/068hy,"Animaux domestiques,animaux de compagnie",0.502729535
69,/m/0bt9lr,Chien,0.502826989
70,/m/05tny_,Aboyer,0.29924795
71,/m/07r_k2n,Ouais,0.248220921
72,/m/07qf0zm,Hurler,0.31447342
73,/m/07rc7d9,Toutou,0.371089131
74,/m/0ghcn6,Grondement,0.198315382
75,/t/dd00136,Gémissement (chien),0.269767046
76,/m/01yrx,Chat,0.661231399
77,/m/02yds9,Ronronner,0.172264501
78,/m/07qrkrw,Miaou,0.447990417
79,/m/07rjwbb,Sifflement,0.254105061
80,/m/07r81j2,Miaulement,0.211083338
81,/m/0ch8v,"Bétail,animaux de ferme,animaux de travail",0.25670734
82,/m/03k3r,Cheval,0.277501345
83,/m/07rv9rh,Clip-clop,0.23132506
84,/m/07q5rw0,"Hennissement,hennissement",0.327387959
85,/m/01xq0k1,"Bovins,bovinae",0.143070012
86,/m/07rpkh9,Meuglement,0.123658635
87,/m/0239kh,Sonnaille,0.067611158
88,/m/068zj,Cochon,0.152138457
89,/t/dd00018,Groin,0.110466607
90,/m/03fwl,Chèvre,0.425498694
